rollout/ep_rew_mean,time/episodes,rollout/success_rate,time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/learning_rate,train/critic_loss,train/actor_loss
-189536.63807,1,0.0,1481,10,15000.0,15000,,,,
-131781.569829,2,0.5,5552,5,14455.5,28911,3900,0.001,6.465944582223893,154.34867782592772
-90558.03245433333,3,0.6666666666666666,7161,4,10349.666666666666,31049,6040,0.001,12.75819274187088,212.6972526550293
-68183.50754199999,4,0.75,7345,4,7824.5,31298,6280,0.001,15.413664150238038,218.10845947265625
-54691.9377702,5,0.8,7498,4,6299.8,31499,6480,0.001,12.129057216644288,222.8693702697754
-48620.65615116666,6,0.8333333333333334,11871,3,6222.5,37335,12320,0.001,38.72370672225952,306.47072143554686
-41725.01435057142,7,0.8571428571428571,12007,3,5358.571428571428,37510,12500,0.001,37.202539920806885,307.55176696777346
-36799.76776975,8,0.875,12323,3,4741.5,37932,12920,0.001,39.59343900680542,311.26441497802733
-33174.93485444444,9,0.8888888888888888,12872,3,4293.666666666667,38643,13640,0.001,44.438854122161864,317.5892303466797
-30150.711439699993,10,0.9,13199,2,3907.6,39076,14060,0.001,50.29454116821289,320.9737014770508
-27424.131198909086,11,0.9090909090909091,13273,2,3560.818181818182,39169,14160,0.001,44.334632110595706,321.0996154785156
-25170.851286249996,12,0.9166666666666666,13380,2,3275.3333333333335,39304,14300,0.001,45.640882110595705,322.3077362060547
-23246.511676461534,13,0.9230769230769231,13441,2,3029.3076923076924,39381,14380,0.001,52.39239845275879,322.51622161865237
-21653.042035999995,14,0.9285714285714286,13630,2,2830.0714285714284,39621,14620,0.001,46.96975336074829,323.77920989990236
-20348.609387599994,15,0.9333333333333333,13898,2,2665.866666666667,39988,14980,0.001,47.23511981964111,325.7991607666016
-19113.560264812502,16,0.9375,14030,2,2510.5,40168,15160,0.001,48.452296829223634,327.51942138671876
-18022.58975776471,17,0.9411764705882353,14235,2,2380.0,40460,15440,0.001,44.67226037979126,327.89673004150393
-17163.601718500002,18,0.9444444444444444,80990,0,2270.6111111111113,40871,15860,0.001,47.75667028427124,331.37059326171874
-16360.018713631582,19,0.9473684210526315,81975,0,2181.6315789473683,41451,16440,0.001,59.480299186706546,332.9165573120117
-15653.896875150002,20,0.95,82502,0,2090.75,41815,16800,0.001,51.73965129852295,334.981755065918
-14962.566114190478,21,0.9523809523809523,83160,0,2009.3333333333333,42196,17180,0.001,62.88364143371582,335.7101364135742
-14412.951220181822,22,0.9545454545454546,84021,0,1940.9545454545455,42701,17700,0.001,66.31792736053467,337.63050537109376
-13789.752443260873,23,0.9565217391304348,84080,0,1859.0434782608695,42758,17740,0.001,67.65970935821534,338.0660629272461
-13558.885878708332,24,0.9583333333333334,85320,0,1816.0,43584,18580,0.001,79.3100133895874,346.4009078979492
-27187.86414032,25,0.92,101027,0,2343.36,58584,33580,0.001,916.4265975952148,689.2812347412109
-35655.84009226923,26,0.8846153846153846,173819,0,2830.153846153846,73584,48580,0.001,699.7893432617187,747.1017364501953
-40538.800688888885,27,0.8518518518518519,219092,0,3280.8888888888887,88584,63580,0.001,466.7624145507813,627.1803466796875
-42828.29290503571,28,0.8214285714285714,233847,0,3699.4285714285716,103584,78580,0.001,312.24047164916993,493.7281753540039
