time/episodes,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/n_updates,time/fps,train/critic_loss,train/actor_loss,rollout/success_rate,rollout/ep_rew_mean,train/learning_rate
28,115000,12657,3699.4285714285716,89960,1,7.750530767440796,589.1074279785156,0.8214285714285714,-43357.961868499995,0.001
29,130000,25121,4089.103448275862,104960,1,30.884003686904908,583.0387634277344,0.7931034482758621,-44728.27889965517,0.001
30,145000,37358,4452.8,119960,1,20.214700305461882,623.5711273193359,0.7666666666666667,-46511.88900443333,0.001
31,160000,49734,4793.032258064516,134960,1,41.44160141944885,564.9852233886719,0.7419354838709677,-46734.556508935486,0.001
32,175000,62116,5112.0,149960,1,32.81778690814972,494.89415740966797,0.71875,-45514.66912709376,0.001
33,190000,74579,5411.636363636364,164960,1,30.639443922042847,438.97320861816405,0.696969696969697,-44604.878790090916,0.001
34,205000,87045,5693.64705882353,179960,1,46.508675241470335,409.89098205566404,0.6764705882352942,-44395.84153429413,0.001
35,220000,132363,5959.542857142857,194960,0,31.593368411064148,407.705305480957,0.6571428571428571,-45034.1682383143,0.001
36,235000,144163,6210.666666666667,209960,0,42.80403373241425,457.84082946777346,0.6388888888888888,-47620.0122193889,0.001
37,250000,155949,6448.216216216216,224960,0,57.61563491821289,440.8614196777344,0.6216216216216216,-47399.48608997298,0.001
38,265000,167748,6673.263157894737,239960,0,59.70973329544067,454.1211502075195,0.6052631578947368,-48617.94511289474,0.001
39,280000,179643,6886.7692307692305,254960,1,60.254179978370665,503.8389175415039,0.5897435897435898,-51354.99968364103,0.001
40,295000,191473,7089.6,269960,1,61.370355701446535,506.49403991699216,0.575,-52078.13862605,0.001
41,310000,204460,7282.536585365854,284960,1,70.84317436218262,486.0411209106445,0.5609756097560976,-51559.17505317074,0.001
42,325000,216177,7466.285714285715,299960,1,78.74815092086791,530.8224884033203,0.5476190476190477,-54412.51655288096,0.001
43,340000,227929,7641.488372093023,314960,1,63.508030796051024,513.4813552856446,0.5348837209302325,-53977.71785611629,0.001
