time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/approx_kl,train/entropy_loss,train/value_loss,train/learning_rate,train/loss,train/clip_range,train/clip_fraction,train/n_updates,train/std,train/explained_variance,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
14,100,1,6,,,,,,,,,,,,,
28,200,2,6,4.0435196e-05,-2.8382998943328857,2044799.025,0.0003,1022181.4375,0.2,0.0,5,1.0005277395248413,-2.2530555725097656e-05,-0.0016988737611086436,,
42,300,3,7,1.1840462e-05,-2.8389968872070312,6346208.8,0.0003,3172687.0,0.2,0.0,10,1.000483512878418,-2.2411346435546875e-05,0.0006677054101601243,,
56,400,4,7,2.3722649e-07,-2.8388797283172607,5199506.6,0.0003,2599351.0,0.2,0.0,15,1.000618577003479,-7.843971252441406e-05,6.132364546829194e-06,,
71,500,5,7,4.61936e-07,-2.839281606674194,4879178.4,0.0003,2439194.5,0.2,0.0,20,1.0007953643798828,0.00013780593872070312,-5.859303366761992e-05,,
85,600,6,6,4.541874e-07,-2.8395955562591553,5292880.0,0.0003,2645977.0,0.2,0.0,25,1.0009737014770508,7.802248001098633e-05,4.9207210594204295e-06,,
99,700,7,7,5.6743625e-07,-2.8398695945739747,1538041.125,0.0003,768734.625,0.2,0.0,30,1.0009739398956299,0.00036215782165527344,-5.299902081645769e-05,,
114,800,8,6,1.9133091e-07,-2.839754104614258,1980028.05,0.0003,989650.875,0.2,0.0,35,1.00089430809021,-3.7670135498046875e-05,-7.252691887060791e-07,,
130,900,9,6,1.8000603e-07,-2.8395626068115236,3173163.6,0.0003,1586047.875,0.2,0.0,40,1.0007418394088745,0.000348508358001709,-1.680231099072671e-05,,
145,1000,10,6,4.1425227e-07,-2.8392003059387205,4682342.7,0.0003,2340449.5,0.2,0.0,45,1.0005426406860352,0.0002243518829345703,-5.292165238657276e-05,,
158,1100,11,6,1.8119812e-07,-2.838874912261963,6674368.1,0.0003,3336268.75,0.2,0.0,50,1.0004702806472778,8.827447891235352e-05,-3.253102318581114e-05,,
170,1200,12,7,1.2218952e-06,-2.838816213607788,558318.725,0.0003,278850.9375,0.2,0.0,55,1.0004701614379883,-0.0015755891799926758,-0.00015208530341652703,,
182,1300,13,7,1.3035536e-06,-2.8389615058898925,139891.2375,0.0003,69768.8125,0.2,0.0,60,1.0006967782974243,-0.0020580291748046875,-0.0001605347408911939,,
193,1400,14,7,1.1706352e-06,-2.83948335647583,1619891.65,0.0003,809323.9375,0.2,0.0,65,1.0009478330612183,-0.0008982419967651367,3.481817178681012e-05,,
204,1500,15,7,2.1219253e-07,-2.839930534362793,2375454.1,0.0003,1186929.625,0.2,0.0,70,1.0011396408081055,-0.00018167495727539062,-2.7158259058523982e-06,,
217,1600,16,7,1.16825106e-07,-2.840260696411133,4875067.0,0.0003,2436306.5,0.2,0.0,75,1.0012571811676025,0.0001615285873413086,4.090452115619314e-05,,
228,1700,17,7,1.013279e-08,-2.840437889099121,11693859.6,0.0003,5844679.5,0.2,0.0,80,1.0013110637664795,0.00010991096496582031,6.079316088403175e-06,,
238,1800,18,7,2.8610229e-08,-2.8404885292053224,2185590.7,0.0003,1091767.875,0.2,0.0,85,1.0012859106063843,0.0010502934455871582,-2.0001888355203334e-05,,
249,1900,19,7,4.7683715e-09,-2.840417814254761,976561.9,0.0003,487550.6875,0.2,0.0,90,1.0012638568878174,-0.0019099712371826172,5.3815842647964015e-06,,
260,2000,20,7,7.271767e-08,-2.840403366088867,1472661.725,0.0003,735361.125,0.2,0.0,95,1.001271367073059,-1.6808509826660156e-05,-3.0936837800510374e-05,,
270,2100,21,7,3.9935113e-08,-2.840419578552246,4676899.5,0.0003,2336457.5,0.2,0.0,100,1.0012755393981934,0.00036197900772094727,9.069919593329701e-06,,
280,2200,22,7,3.576279e-08,-2.8404343128204346,1074021.6,0.0003,535937.6875,0.2,0.0,105,1.0012969970703125,0.00225067138671875,-1.6788840017056828e-05,,
290,2300,23,7,2.682209e-08,-2.8404852867126467,5464455.3,0.0003,2729754.5,0.2,0.0,110,1.001318335533142,0.0010113716125488281,2.969264974694852e-06,,
301,2400,24,7,2.1457673e-08,-2.840524435043335,4048198.45,0.0003,2021810.75,0.2,0.0,115,1.001341700553894,0.000800788402557373,-1.882553071084203e-05,,
313,2500,25,7,3.3974647e-08,-2.840573215484619,3380841.25,0.0003,1688174.375,0.2,0.0,120,1.0013620853424072,0.0005224347114562988,-1.5996932825146358e-05,,
325,2600,26,7,2.5629998e-08,-2.840600681304932,6025000.1,0.0003,3009181.5,0.2,0.0,125,1.00136399269104,0.0004150867462158203,-7.83377904198801e-06,,
335,2700,27,8,7.7486035e-08,-2.840593194961548,4275057.9,0.0003,2134697.0,0.2,0.0,130,1.0013549327850342,0.0016280412673950195,-5.1242589034927735e-05,,
346,2800,28,8,2.3841858e-08,-2.840570831298828,3764348.9,0.0003,1879476.375,0.2,0.0,135,1.001340627670288,0.001100301742553711,4.567861629922732e-06,,
356,2900,29,8,7.152557e-09,-2.840537977218628,3004895.45,0.0003,1499729.875,0.2,0.0,140,1.0013210773468018,-0.005485653877258301,-2.4807454224173853e-06,,
366,3000,30,8,5.9604646e-09,-2.840489625930786,6059779.3,0.0003,3025567.25,0.2,0.0,145,1.0012876987457275,0.0030254721641540527,-7.430315088630124e-06,,
376,3100,31,8,0.0,-2.840431547164917,3916052.75,0.0003,1954533.625,0.2,0.0,150,1.0012768507003784,-0.00287628173828125,1.955028139377646e-08,,
386,3200,32,8,0.0,-2.840422248840332,8604739.6,0.0003,4296477.0,0.2,0.0,155,1.0012694597244263,0.0005314946174621582,2.17211245683302e-06,,
396,3300,33,8,0.0,-2.840408992767334,3594918.9,0.0003,1793799.625,0.2,0.0,160,1.0012729167938232,0.005454123020172119,-3.1231642257267824e-06,,
407,3400,34,8,0.0,-2.8404287815093996,2591089.2,0.0003,1292408.5,0.2,0.0,165,1.0012880563735962,-0.0025936365127563477,-1.4660359056506422e-06,,
417,3500,35,8,5.9604643e-10,-2.840453100204468,2337249.3,0.0003,1165222.75,0.2,0.0,170,1.001291275024414,-0.0005691051483154297,-4.781901708383884e-06,,
428,3600,36,8,0.0,-2.840450954437256,2986887.55,0.0003,1489404.375,0.2,0.0,175,1.0012874603271484,0.0010970830917358398,-1.4677047673217202e-06,,
439,3700,37,8,0.0,-2.8404413223266602,5543843.3,0.0003,2766359.25,0.2,0.0,180,1.0012800693511963,0.0024143457412719727,-1.8215179942160376e-06,,
450,3800,38,8,1.1920929e-09,-2.8404253482818604,2363567.65,0.0003,1178083.5,0.2,0.0,185,1.001273274421692,-0.012166380882263184,-1.101660739664112e-05,,
462,3900,39,8,2.3841857e-09,-2.840414571762085,6617009.4,0.0003,3301490.0,0.2,0.0,190,1.0012694597244263,0.002582550048828125,4.533052404553928e-06,,
474,4000,40,8,0.0,-2.84041109085083,3659036.2,0.0003,1824426.5,0.2,0.0,195,1.0012717247009277,0.00850522518157959,1.2828111856322267e-06,,
484,4100,41,8,0.0,-2.840415525436401,2603165.3,0.0003,1297093.875,0.2,0.0,200,1.0012710094451904,0.001318812370300293,-6.0486792477831844e-06,,
495,4200,42,8,0.0,-2.8404115200042725,1595701.875,0.0003,794097.4375,0.2,0.0,205,1.0012695789337158,-0.0012017488479614258,-2.249956128252961e-06,,
506,4300,43,8,1.1920929e-09,-2.8404088497161863,2497216.5,0.0003,1243942.0,0.2,0.0,210,1.0012667179107666,0.0023200511932373047,-8.374571791591734e-06,,
516,4400,44,8,1.7881393e-09,-2.8404037952423096,3791365.25,0.0003,1889878.875,0.2,0.0,215,1.0012667179107666,0.0040975213050842285,-4.9581528259068365e-06,,
527,4500,45,8,5.9604643e-10,-2.8404048442840577,3857410.15,0.0003,1922503.375,0.2,0.0,220,1.0012661218643188,0.006103217601776123,-6.177186912736943e-06,,
537,4600,46,8,0.0,-2.8404022693634032,9171947.8,0.0003,4575162.0,0.2,0.0,225,1.0012649297714233,0.00102919340133667,-2.8898119325049264e-06,,
548,4700,47,8,0.0,-2.8404033184051514,6459287.8,0.0003,3220139.0,0.2,0.0,230,1.0012693405151367,0.013599157333374023,-1.655578617487663e-06,,
559,4800,48,8,0.0,-2.84041485786438,13405000.8,0.0003,6687495.0,0.2,0.0,235,1.0012753009796143,0.0024393200874328613,-3.5400390601125764e-06,,
570,4900,49,8,0.0,-2.840423345565796,6065099.8,0.0003,3022535.0,0.2,0.0,240,1.0012755393981934,0.004543602466583252,-2.3105144322244087e-06,,
580,5000,50,8,0.0,-2.840420961380005,6129635.6,0.0003,3054841.0,0.2,0.0,245,1.0012741088867188,0.008739054203033447,-3.252863827540864e-06,,
590,5100,51,8,0.0,-2.840424680709839,7382721.8,0.0003,3679746.25,0.2,0.0,250,1.0012832880020142,-0.010970830917358398,-1.5351295701293566e-05,,
600,5200,52,8,0.0,-2.840447759628296,19515043.6,0.0003,9735391.0,0.2,0.0,255,1.001294732093811,-0.0029821395874023438,2.2687911723551223e-06,,
611,5300,53,8,0.0,-2.840466547012329,12819124.8,0.0003,6392195.0,0.2,0.0,260,1.0013009309768677,0.019725441932678223,-9.198188564596421e-07,,
621,5400,54,8,0.0,-2.8404744625091554,13342476.4,0.0003,6652678.5,0.2,0.0,265,1.0013017654418945,0.0066489577293396,-7.414817986273192e-08,,
632,5500,55,8,0.0,-2.840471363067627,9127383.0,0.0003,4548450.5,0.2,0.0,270,1.0012964010238647,0.014949142932891846,-3.1588077021638127e-06,,
642,5600,56,8,0.0,-2.8404594898223876,8066702.3,0.0003,4018643.75,0.2,0.0,275,1.0012915134429932,0.01140683889389038,-8.883476212417918e-07,,
653,5700,57,8,0.0,-2.8404523849487306,6804874.7,0.0003,3389676.75,0.2,0.0,280,1.0012898445129395,0.0010221004486083984,1.8358230846615697e-07,,
664,5800,58,8,0.0,-2.840448236465454,13289452.8,0.0003,6624533.0,0.2,0.0,285,1.0012850761413574,-0.008666753768920898,-3.1900406330720442e-06,,
673,5900,59,8,0.0,-2.8404335498809816,6252634.8,0.0003,3112428.25,0.2,0.0,290,1.0012741088867188,0.03515595197677612,-1.8653869290119473e-06,,
684,6000,60,8,0.0,-2.8404096603393554,4134027.5,0.0003,2056430.25,0.2,0.0,295,1.0012620687484741,0.008930861949920654,-1.5392303957639797e-06,,
694,6100,61,8,0.0,-2.84038667678833,9940728.8,0.0003,4953172.0,0.2,0.0,300,1.001251459121704,0.0065847039222717285,-4.937648685654494e-06,,
705,6200,62,8,0.0,-2.8403671741485597,7421757.7,0.0003,3695577.5,0.2,0.0,305,1.0012433528900146,0.004956245422363281,-9.12308712486265e-07,,
715,6300,63,8,0.0,-2.840353584289551,3840181.1,0.0003,1909115.625,0.2,0.0,310,1.0012387037277222,0.0017390251159667969,-1.7533302127503703e-06,,
726,6400,64,8,0.0,-2.8403482913970945,4788211.6,0.0003,2381554.75,0.2,0.0,315,1.0012397766113281,-0.0046617984771728516,8.819103129553696e-07,,
736,6500,65,8,0.0,-2.840352439880371,4146248.05,0.0003,2060701.125,0.2,0.0,320,1.001241683959961,-0.0005403757095336914,-1.2676715627435443e-06,,
746,6600,66,8,0.0,-2.840356159210205,4756277.6,0.0003,2365098.0,0.2,0.0,325,1.0012439489364624,0.0008626580238342285,-5.388260504446407e-08,,
756,6700,67,8,0.0,-2.8403597354888914,5675205.3,0.0003,2822486.0,0.2,0.0,330,1.0012441873550415,-0.015371561050415039,5.71489320932983e-07,,
767,6800,68,8,0.0,-2.840358304977417,6478007.1,0.0003,3222103.75,0.2,0.0,335,1.0012426376342773,0.0050299763679504395,-9.541511587940476e-07,,
778,6900,69,8,0.0,-2.8403555393218993,8773477.4,0.0003,4364987.0,0.2,0.0,340,1.0012422800064087,0.0003712177276611328,-3.0746459724895203e-06,,
789,7000,70,8,0.0,-2.8403565883636475,7827698.2,0.0003,3892918.5,0.2,0.0,345,1.0012439489364624,0.015479862689971924,-1.1441707798098833e-06,,
800,7100,71,8,0.0,-2.840359830856323,7599339.3,0.0003,3779107.25,0.2,0.0,350,1.0012446641921997,-0.027824997901916504,-1.6856193951753085e-07,,
810,7200,72,8,0.0,-2.840359401702881,6478017.1,0.0003,3220019.25,0.2,0.0,355,1.0012428760528564,0.010041236877441406,-6.270408476893863e-08,,
821,7300,73,8,0.0,-2.840355730056763,4766715.0,0.0003,2367455.25,0.2,0.0,360,1.0012422800064087,0.01121973991394043,-4.28318972467423e-07,,
832,7400,74,8,0.0,-2.840355110168457,3494770.75,0.0003,1733849.75,0.2,0.0,365,1.0012415647506714,-0.001383066177368164,-1.8072128113999497e-07,,
843,7500,75,8,0.0,-2.8403517246246337,1484026.15,0.0003,732487.6875,0.2,0.0,370,1.0012379884719849,-0.05786764621734619,-2.8815269985216217e-06,,
854,7600,76,8,0.0,-2.8403430938720704,1410384.975,0.0003,695344.625,0.2,0.0,375,1.0012331008911133,0.02348417043685913,-7.288694436269339e-06,,
864,7700,77,8,0.0,-2.840335559844971,1597319.225,0.0003,788131.6875,0.2,0.0,380,1.0012322664260864,0.061900198459625244,-3.867864646167618e-06,,
875,7800,78,8,0.0,-2.8403385639190675,4158919.15,0.0003,2062351.875,0.2,0.0,385,1.0012366771697998,0.0015218853950500488,-3.877639743254946e-06,,
886,7900,79,8,0.0,-2.84034948348999,1984025.625,0.0003,979793.625,0.2,0.0,390,1.0012426376342773,0.0334169864654541,4.858374644811647e-07,,
896,8000,80,8,0.0,-2.840358543395996,5939557.5,0.0003,2948952.75,0.2,0.0,395,1.0012437105178833,0.023054420948028564,-8.319616398466678e-07,,
907,8100,81,8,0.0,-2.8403563499450684,3729048.5,0.0003,1847533.125,0.2,0.0,400,1.0012402534484863,0.0441361665725708,-1.3873576847345248e-06,,
917,8200,82,8,0.0,-2.840349006652832,2189525.7,0.0003,1080984.0,0.2,0.0,405,1.001237154006958,0.055401384830474854,-1.9263029599869695e-06,,
928,8300,83,8,0.0,-2.840344047546387,4281104.5,0.0003,2121944.25,0.2,0.0,410,1.0012353658676147,-0.009106159210205078,1.3899803349204375e-06,,
939,8400,84,8,0.0,-2.8403406620025633,6241084.6,0.0003,3096407.0,0.2,0.0,415,1.0012338161468506,-0.10587465763092041,-5.135536042644163e-07,,
949,8500,85,8,0.0,-2.840336275100708,7941896.5,0.0003,3941235.75,0.2,0.0,420,1.001230239868164,0.04960900545120239,-9.646415882968996e-07,,
960,8600,86,8,0.0,-2.8403283596038817,5127283.6,0.0003,2541602.75,0.2,0.0,425,1.0012259483337402,-0.007492661476135254,-2.243518849809334e-07,,
972,8700,87,8,0.0,-2.8403204441070558,5053522.5,0.0003,2504138.0,0.2,0.0,430,1.0012224912643433,0.022539794445037842,-5.965232688254218e-07,,
983,8800,88,8,0.0,-2.840314483642578,4034317.3,0.0003,1996982.125,0.2,0.0,435,1.0012202262878418,-0.012055039405822754,-8.810758501454075e-07,,
993,8900,89,8,0.0,-2.8403110980987547,3931710.05,0.0003,1945309.75,0.2,0.0,440,1.0012195110321045,3.4749507904052734e-05,6.675720101156913e-08,,
