time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/approx_kl,train/loss,train/n_updates,train/clip_fraction,train/clip_range,train/learning_rate,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/std
100100,1,15000.0,-1857220.580626,30,3,,,,,,,,,,,
100200,2,15000.0,-1857220.580626,51,3,0.0,37406.49609375,5000,0.0,0.2,0.0003,77663.225,-12.44849967956543,-1.7728805040917451e-06,-2.8407973766326906,1.0014548301696777
100300,3,15000.0,-1857220.580626,71,4,0.0,34281.703125,5005,0.0,0.2,0.0003,66972.96875,-0.051668405532836914,-4.578351898132383e-06,-2.8407639026641847,1.0014336109161377
100400,4,15000.0,-1857220.580626,91,4,2.9802323e-09,9425.5634765625,5010,0.0,0.2,0.0003,20880.15078125,-3.9198737144470215,-4.706382705421675e-06,-2.8407302856445313,1.001426100730896
100500,5,15000.0,-1857220.580626,111,4,0.0,61082.203125,5015,0.0,0.2,0.0003,128657.8828125,-15.518722534179688,-8.450746692645339e-07,-2.8407261848449705,1.001429796218872
100600,6,15000.0,-1857220.580626,131,4,0.0,46150.171875,5020,0.0,0.2,0.0003,97724.6796875,-13.293478965759277,-3.4618377238615496e-06,-2.8407339096069335,1.0014301538467407
100700,7,15000.0,-1857220.580626,155,4,0.0,51655.0,5025,0.0,0.2,0.0003,106237.534375,-26.3873291015625,-5.2304268557179515e-06,-2.840736722946167,1.001449704170227
100800,8,15000.0,-1857220.580626,177,4,1.07288365e-08,70768.8671875,5030,0.0,0.2,0.0003,168381.11875,-1.0416326522827148,6.818771140615354e-07,-2.8408071517944338,1.0014896392822266
100900,9,15000.0,-1857220.580626,201,4,0.0,52394.35546875,5035,0.0,0.2,0.0003,122149.6609375,0.07647484540939331,4.17375557300037e-06,-2.840871238708496,1.0015122890472412
101000,10,15000.0,-1857220.580626,222,4,0.0,314549.71875,5040,0.0,0.2,0.0003,607644.4875,0.09043014049530029,-7.7557563926689e-07,-2.840906524658203,1.0015230178833008
101100,11,15000.0,-1857220.580626,242,4,0.0,101983.65625,5045,0.0,0.2,0.0003,215619.95625,-1.1633286476135254,-5.095243626307422e-06,-2.8409265518188476,1.0015358924865723
101200,12,15000.0,-1857220.580626,263,4,0.0,1861424.125,5050,0.0,0.2,0.0003,3708543.5,-0.08253598213195801,1.2874604848889249e-08,-2.8409543514251707,1.0015476942062378
101300,13,15000.0,-1857220.580626,283,4,0.0,53607.82421875,5055,0.0,0.2,0.0003,111430.2125,-2.70845103263855,-3.571510355016017e-07,-2.840973377227783,1.0015549659729004
101400,14,15000.0,-1857220.580626,303,4,1.7881393e-09,352307.15625,5060,0.0,0.2,0.0003,707282.0625,0.2966341972351074,-6.997108634010374e-06,-2.8409755706787108,1.0015417337417603
101500,15,15000.0,-1857220.580626,324,4,5.9604643e-10,132213.65625,5065,0.0,0.2,0.0003,271530.78125,0.25122660398483276,-1.581668866101893e-06,-2.8409380435943605,1.001521110534668
101600,16,15000.0,-1857220.580626,344,4,0.0,302475.53125,5070,0.0,0.2,0.0003,645359.9625,0.003159463405609131,-1.6534328569406397e-06,-2.8409032344818117,1.001509189605713
101700,17,15000.0,-1857220.580626,364,4,0.0,145030.5625,5075,0.0,0.2,0.0003,285450.20625,0.42201364040374756,-3.836393283584983e-06,-2.840885353088379,1.0015034675598145
101800,18,15000.0,-1857220.580626,385,4,0.0,713294.875,5080,0.0,0.2,0.0003,1454396.375,0.18251317739486694,-3.0611753643938754e-06,-2.840876913070679,1.0015015602111816
101900,19,15000.0,-1857220.580626,405,4,0.0,2142313.25,5085,0.0,0.2,0.0003,4436065.5,-0.019463419914245605,-9.953975734333654e-07,-2.8408749103546143,1.0015010833740234
