rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/success_rate,time/time_elapsed,time/episodes,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates
-993368.86125,15000,15000.0,30,0.0,485,1,,,,
-1406910.48608,30000,15000.0,30,0.0,979,2,,,,
-1311878.1427316666,45000,15000.0,15,0.0,2812,3,1515.7291288126867,2315.2752608683268,0.001,15000
-1236560.7821412499,60000,15000.0,13,0.0,4568,4,3621.632770377604,6910.4023393798825,0.001,30000
-1121052.4219272,75000,15000.0,11,0.0,6326,5,4815.475484700521,10187.00815103353,0.001,45000
-1496142.3976588333,90000,15000.0,11,0.0,8103,6,5210.301658463542,11770.24897060547,0.001,60000
-1919903.2162259999,105000,15000.0,10,0.0,9878,7,5947.523828971354,17565.46364078776,0.001,75000
-2044926.4141575,120000,15000.0,10,0.0,11647,8,7590.7826789713545,25428.015228483073,0.001,90000
-2274819.4565513334,135000,15000.0,10,0.0,13422,9,28186.550796354168,1837328.7224104167,0.001,105000
-2386246.1149365,150000,15000.0,9,0.0,15194,10,27226.721676302084,620775.9231645833,0.001,120000
-2585876.4288296364,165000,15000.0,9,0.0,16967,11,30446.894570833334,532836.843875,0.001,135000
-2761745.2785397503,180000,15000.0,9,0.0,18739,12,40207.3616875,974512.9207442708,0.001,150000
-2913853.654480231,195000,15000.0,9,0.0,20511,13,57052.07965677083,2467698.938867708,0.001,165000
-2964102.2655998576,210000,15000.0,9,0.0,22283,14,76900.11867760417,5199292.866708334,0.001,180000
-3031920.666821867,225000,15000.0,9,0.0,24051,15,93383.520534375,7979211.0436875,0.001,195000
-3124995.33331425,240000,15000.0,9,0.0,25822,16,95179.19131979167,10753100.478825,0.001,210000
-3201844.541164941,255000,15000.0,9,0.0,27593,17,84982.75099479167,7662287.91445,0.001,225000
-3260178.3800985557,270000,15000.0,9,0.0,29364,18,68424.44669635416,4260862.041391667,0.001,240000
-3316517.750443211,285000,15000.0,9,0.0,31134,19,55290.81515052083,2282235.170627083,0.001,255000
-3345686.9963548,300000,15000.0,9,0.0,32906,20,46546.40232447917,1423142.5689625,0.001,270000
-3370913.897573762,315000,15000.0,9,0.0,34679,21,40854.379891145836,1214385.7232541668,0.001,285000
-3358240.5910210456,330000,15000.0,9,0.0,36445,22,37494.902845833334,860525.6883489584,0.001,300000
-3247355.510109478,345000,15000.0,9,0.0,38204,23,34921.4430671875,715456.7712260417,0.001,315000
-3270911.724929042,360000,15000.0,9,0.0,39979,24,31463.595878645832,668641.9645145833,0.001,330000
-3266679.7415155605,375000,15000.0,8,0.0,41747,25,30441.334132291668,476811.40690833336,0.001,345000
-3182704.417352155,390000,15000.0,8,0.0,43506,26,28538.532218229167,483806.98528958333,0.001,360000
